#,Date-Time (CST/CDT),Temperature   (°F),RH   (%),Dew Point   (°F),Host Connected,End of File
1,11/10/2023 09:52:55,75.85,37.730,48.27,,
2,11/10/2023 10:02:55,71.31,33.610,41.23,,
3,11/10/2023 10:12:55,69.82,34.660,40.71,,
4,11/10/2023 10:22:55,69.35,36.370,41.55,,
5,11/10/2023 10:32:55,69.48,37.090,42.17,,
6,11/10/2023 10:42:55,69.69,37.120,42.37,,
7,11/10/2023 10:52:55,69.82,37.410,42.69,,
8,11/10/2023 11:02:55,69.85,37.380,42.71,,
9,11/10/2023 11:12:55,69.85,37.380,42.71,,
10,11/10/2023 11:22:55,69.91,37.480,42.82,,
11,11/10/2023 11:32:55,69.85,37.150,42.54,,
12,11/10/2023 11:42:55,69.60,34.850,40.66,,
13,11/10/2023 11:52:55,69.51,34.780,40.53,,
14,11/10/2023 12:02:55,69.48,35.060,40.71,,
15,11/10/2023 12:12:55,69.51,34.390,40.25,,
16,11/10/2023 12:22:55,69.48,33.880,39.83,,
17,11/10/2023 12:32:55,69.48,33.850,39.80,,
18,11/10/2023 12:42:55,69.48,33.650,39.65,,
19,11/10/2023 12:52:55,69.51,33.800,39.79,,
20,11/10/2023 13:02:55,69.55,33.260,39.42,,
21,11/10/2023 13:12:55,69.51,32.610,38.88,,
22,11/10/2023 13:22:55,69.51,32.860,39.07,,
23,11/10/2023 13:32:55,69.60,32.670,39.00,,
24,11/10/2023 13:42:55,69.64,32.630,39.00,,
25,11/10/2023 13:52:55,69.85,33.710,40.03,,
26,11/10/2023 14:02:55,70.03,33.730,40.20,,
27,11/10/2023 14:12:55,70.16,33.690,40.28,,
28,11/10/2023 14:22:55,70.32,33.580,40.34,,
29,11/10/2023 14:32:55,70.41,33.960,40.71,,
30,11/10/2023 14:42:55,70.54,34.000,40.85,,
31,11/10/2023 14:52:55,70.68,33.850,40.86,,
32,11/10/2023 15:02:55,70.75,33.980,41.02,,
33,11/10/2023 15:12:55,70.84,34.220,41.28,,
34,11/10/2023 15:22:55,70.88,34.220,41.31,,
35,11/10/2023 15:32:55,70.97,34.340,41.49,,
36,11/10/2023 15:42:55,71.02,34.430,41.60,,
37,11/10/2023 15:52:55,71.10,34.470,41.70,,
38,11/10/2023 16:02:55,71.15,34.510,41.77,,
39,11/10/2023 16:12:55,71.15,34.670,41.90,,
40,11/10/2023 16:22:55,71.19,34.760,41.99,,
41,11/10/2023 16:32:55,71.19,34.880,42.08,,
42,11/10/2023 16:42:55,71.19,35.000,42.17,,
43,11/10/2023 16:52:55,71.19,35.020,42.18,,
44,11/10/2023 17:02:55,71.19,35.050,42.20,,
45,11/10/2023 17:12:55,71.19,35.180,42.30,,
46,11/10/2023 17:22:55,71.15,35.180,42.27,,
47,11/10/2023 17:32:55,71.15,35.470,42.49,,
48,11/10/2023 17:42:55,71.10,35.530,42.49,,
49,11/10/2023 17:52:55,71.06,35.630,42.52,,
50,11/10/2023 18:02:55,71.02,35.800,42.61,,
51,11/10/2023 18:12:55,70.93,35.860,42.58,,
52,11/10/2023 18:22:55,70.81,35.950,42.53,,
53,11/10/2023 18:32:55,70.72,36.100,42.56,,
54,11/10/2023 18:42:55,70.63,36.210,42.56,,
55,11/10/2023 18:52:55,70.50,36.290,42.51,,
56,11/10/2023 19:02:55,70.41,36.430,42.53,,
57,11/10/2023 19:12:55,70.29,36.540,42.50,,
58,11/10/2023 19:22:55,70.20,36.660,42.50,,
59,11/10/2023 19:32:55,70.32,36.620,42.58,,
60,11/10/2023 19:42:55,70.25,36.450,42.40,,
61,11/10/2023 19:52:55,70.16,36.660,42.47,,
62,11/10/2023 20:02:55,70.07,36.560,42.32,,
63,11/10/2023 20:12:55,69.94,36.720,42.32,,
64,11/10/2023 20:22:55,69.82,36.820,42.28,,
65,11/10/2023 20:32:55,69.73,36.970,42.30,,
66,11/10/2023 20:42:55,69.69,37.090,42.36,,
67,11/10/2023 20:52:55,69.85,36.980,42.42,,
68,11/10/2023 21:02:55,69.85,37.110,42.51,,
69,11/10/2023 21:12:55,69.76,37.130,42.45,,
70,11/10/2023 21:22:55,69.60,37.280,42.41,,
71,11/10/2023 21:32:55,69.48,37.350,42.35,,
72,11/10/2023 21:42:55,69.35,37.460,42.31,,
73,11/10/2023 21:52:55,69.35,37.590,42.40,,
74,11/10/2023 22:02:55,69.51,37.420,42.43,,
75,11/10/2023 22:12:55,69.55,37.730,42.67,,
76,11/10/2023 22:22:55,69.48,37.520,42.47,,
77,11/10/2023 22:32:55,69.30,37.610,42.37,,
78,11/10/2023 22:42:55,69.17,37.730,42.34,,
79,11/10/2023 22:52:55,69.04,37.870,42.32,,
80,11/10/2023 23:02:55,69.01,38.000,42.38,,
81,11/10/2023 23:12:55,69.21,37.910,42.49,,
82,11/10/2023 23:22:55,69.30,37.900,42.56,,
83,11/10/2023 23:32:55,69.26,37.890,42.53,,
84,11/10/2023 23:42:55,69.08,37.920,42.38,,
85,11/10/2023 23:52:55,68.95,38.040,42.36,,
86,11/11/2023 00:02:55,68.79,38.160,42.29,,
87,11/11/2023 00:12:55,68.83,38.200,42.36,,
88,11/11/2023 00:22:55,69.01,38.120,42.46,,
89,11/11/2023 00:32:55,69.13,37.980,42.48,,
90,11/11/2023 00:42:55,69.26,37.940,42.56,,
91,11/11/2023 00:52:55,69.13,37.950,42.46,,
92,11/11/2023 01:02:55,68.95,38.040,42.36,,
93,11/11/2023 01:12:55,68.83,38.240,42.38,,
94,11/11/2023 01:22:55,68.70,38.280,42.29,,
95,11/11/2023 01:32:55,68.58,38.430,42.29,,
96,11/11/2023 01:42:55,68.61,38.400,42.30,,
97,11/11/2023 01:52:55,68.79,38.240,42.35,,
98,11/11/2023 02:02:55,68.95,38.130,42.42,,
99,11/11/2023 02:12:55,68.86,38.180,42.38,,
100,11/11/2023 02:22:55,68.74,38.230,42.29,,
101,11/11/2023 02:32:55,68.58,38.390,42.26,,
102,11/11/2023 02:42:55,68.36,38.510,42.15,,
103,11/11/2023 02:52:55,68.40,38.450,42.14,,
104,11/11/2023 03:02:55,68.52,38.430,42.24,,
105,11/11/2023 03:12:55,68.70,38.260,42.29,,
106,11/11/2023 03:22:55,68.79,38.180,42.31,,
107,11/11/2023 03:32:55,68.86,38.100,42.32,,
108,11/11/2023 03:42:55,68.92,38.030,42.32,,
109,11/11/2023 03:52:55,69.01,38.120,42.46,,
110,11/11/2023 04:02:55,68.83,38.070,42.27,,
111,11/11/2023 04:12:55,68.58,38.230,42.15,,
112,11/11/2023 04:22:55,68.36,38.460,42.12,,
113,11/11/2023 04:32:55,68.18,38.670,42.10,,
114,11/11/2023 04:42:55,68.31,38.560,42.13,,
115,11/11/2023 04:52:55,68.45,38.530,42.24,,
116,11/11/2023 05:02:55,68.49,38.430,42.20,,
117,11/11/2023 05:12:55,68.58,38.320,42.21,,
118,11/11/2023 05:22:55,68.61,38.260,42.21,,
119,11/11/2023 05:32:55,68.79,38.080,42.24,,
120,11/11/2023 05:42:55,68.79,38.120,42.27,,
121,11/11/2023 05:52:55,68.83,38.070,42.27,,
122,11/11/2023 06:02:55,68.83,38.090,42.28,,
123,11/11/2023 06:12:55,68.83,38.020,42.23,,
124,11/11/2023 06:22:55,68.86,38.170,42.36,,
125,11/11/2023 06:32:55,68.70,38.070,42.16,,
126,11/11/2023 06:42:55,68.45,38.280,42.07,,
127,11/11/2023 06:52:55,68.14,38.550,41.98,,
128,11/11/2023 07:02:55,67.93,38.710,41.90,,
129,11/11/2023 07:12:55,68.11,38.650,42.02,,
130,11/11/2023 07:22:55,68.18,38.590,42.04,,
131,11/11/2023 07:32:55,68.23,38.550,42.06,,
132,11/11/2023 07:42:55,68.31,38.490,42.09,,
133,11/11/2023 07:52:55,68.36,38.450,42.10,,
134,11/11/2023 08:02:55,68.52,38.340,42.18,,
135,11/11/2023 08:12:55,68.40,38.330,42.06,,
136,11/11/2023 08:22:55,68.23,38.490,42.03,,
137,11/11/2023 08:32:55,67.96,38.700,41.92,,
138,11/11/2023 08:42:55,67.96,38.880,42.04,,
139,11/11/2023 08:52:55,68.14,38.660,42.06,,
140,11/11/2023 09:02:55,68.27,38.580,42.11,,
141,11/11/2023 09:12:55,68.40,38.480,42.16,,
142,11/11/2023 09:22:55,68.52,38.310,42.15,,
143,11/11/2023 09:32:55,68.61,38.240,42.19,,
144,11/11/2023 09:42:55,68.70,38.070,42.16,,
145,11/11/2023 09:52:55,68.79,38.260,42.37,,
146,11/11/2023 10:02:55,68.70,38.100,42.18,,
147,11/11/2023 10:12:55,68.52,38.080,42.00,,
148,11/11/2023 10:22:55,68.40,38.200,41.97,,
149,11/11/2023 10:32:55,68.36,38.160,41.91,,
150,11/11/2023 10:42:55,68.58,38.150,42.09,,
151,11/11/2023 10:52:55,68.83,38.060,42.26,,
