#,Date-Time (CDT),Temperature   (°F),RH   (%),Dew Point   (°F),Host Connected,Stopped,End of File
1,04/28/2023 13:01:44,72.52,41.060,47.55,,,
2,04/28/2023 13:02:44,72.61,40.960,47.57,,,
3,04/28/2023 13:03:44,72.64,41.170,47.74,,,
4,04/28/2023 13:04:44,72.73,40.730,47.53,,,
5,04/28/2023 13:05:44,72.79,40.530,47.45,,,
6,04/28/2023 13:06:44,72.82,40.460,47.44,,,
7,04/28/2023 13:07:44,72.86,40.370,47.41,,,
8,04/28/2023 13:08:44,72.91,40.250,47.37,,,
9,04/28/2023 13:09:44,72.91,40.140,47.30,,,
10,04/28/2023 13:10:44,72.95,40.050,47.28,,,
11,04/28/2023 13:11:44,73.00,40.000,47.29,,,
12,04/28/2023 13:12:44,73.00,39.990,47.29,,,
13,04/28/2023 13:13:44,72.95,40.010,47.25,,,
14,04/28/2023 13:14:44,72.95,39.970,47.22,,,
15,04/28/2023 13:15:44,73.00,39.890,47.22,,,
16,04/28/2023 13:16:44,73.04,39.860,47.23,,,
17,04/28/2023 13:17:44,73.04,39.660,47.10,,,
18,04/28/2023 13:18:44,73.08,39.610,47.09,,,
19,04/28/2023 13:19:44,73.08,39.540,47.05,,,
20,04/28/2023 13:20:44,73.13,39.500,47.07,,,
21,04/28/2023 13:21:44,73.13,39.430,47.02,,,
22,04/28/2023 13:22:44,73.17,39.420,47.05,,,
23,04/28/2023 13:23:44,73.22,39.250,46.98,,,
24,04/28/2023 13:24:44,73.29,39.210,47.02,,,
25,04/28/2023 13:25:44,73.26,39.070,46.89,,,
26,04/28/2023 13:26:44,73.26,39.090,46.90,,,
27,04/28/2023 13:27:44,73.17,38.790,46.62,,,
28,04/28/2023 13:28:44,73.13,38.710,46.54,,,
29,04/28/2023 13:29:44,73.04,38.680,46.44,,,
30,04/28/2023 13:30:44,73.00,38.630,46.37,,,
31,04/28/2023 13:31:44,73.00,38.710,46.42,,,
32,04/28/2023 13:32:44,72.95,38.650,46.34,,,
33,04/28/2023 13:33:44,72.95,38.670,46.35,,,
34,04/28/2023 13:34:44,72.91,38.680,46.32,,,
35,04/28/2023 13:35:44,72.95,38.710,46.38,,,
36,04/28/2023 13:36:44,72.91,38.490,46.19,,,
37,04/28/2023 13:37:44,72.91,38.530,46.22,,,
38,04/28/2023 13:38:44,72.86,38.570,46.20,,,
39,04/28/2023 13:39:44,72.86,38.590,46.21,,,
40,04/28/2023 13:40:44,72.86,38.630,46.24,,,
41,04/28/2023 13:41:44,72.86,38.590,46.21,,,
42,04/28/2023 13:42:44,72.86,38.540,46.18,,,
43,04/28/2023 13:43:44,72.86,38.530,46.17,,,
44,04/28/2023 13:44:44,72.86,38.350,46.05,,,
45,04/28/2023 13:45:44,72.82,38.320,45.99,,,
46,04/28/2023 13:46:44,72.82,38.330,46.00,,,
47,04/28/2023 13:47:44,72.79,38.370,45.99,,,
48,04/28/2023 13:48:44,72.79,38.350,45.98,,,
49,04/28/2023 13:49:44,72.73,38.430,45.99,,,
50,04/28/2023 13:50:44,72.73,38.460,46.01,,,
51,04/28/2023 13:51:44,72.79,38.280,45.93,,,
52,04/28/2023 13:52:44,72.73,38.310,45.90,,,
53,04/28/2023 13:53:44,72.70,38.260,45.84,,,
54,04/28/2023 13:54:44,72.73,38.290,45.89,,,
55,04/28/2023 13:55:44,72.73,38.280,45.88,,,
56,04/28/2023 13:56:44,72.73,38.180,45.82,,,
57,04/28/2023 13:57:44,72.73,38.240,45.86,,,
58,04/28/2023 13:58:44,72.73,38.120,45.78,,,
59,04/28/2023 13:59:44,72.73,38.020,45.71,,,
60,04/28/2023 14:00:44,72.70,38.100,45.73,,,
61,04/28/2023 14:01:44,72.70,38.000,45.66,,,
62,04/28/2023 14:02:44,72.70,37.990,45.66,,,
63,04/28/2023 14:03:44,72.70,37.990,45.66,,,
64,04/28/2023 14:04:44,72.70,37.900,45.59,,,
65,04/28/2023 14:05:44,72.64,37.990,45.61,,,
66,04/28/2023 14:06:44,72.61,37.990,45.58,,,
